,数据来自快易数据,,,总和生育率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,美国,,,加拿大,,,英国,,,巴西,,,印度,,,韩国,,,日本,,,越南,,,Niger,,,法国,,,德国,,,阿富汗,
Year,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility
2019,"3.28亿 (328,239,523)",,,"3.76千万 (37,589,262)",,,"6.68千万 (66,834,405)",,,"2.11亿 (211,049,527)",,,"13.66亿 (1,366,417,754)",,,"5.17千万 (51,709,098)",,,"1.26亿 (126,264,931)",,,"9.65千万 (96,462,106)",,,"2.33千万 (23,310,715)",,,"6.71千万 (67,059,887)",,,"8.31千万 (83,132,799)",,,"3.8千万 (38,041,754)",
2018,"3.27亿 (326,687,501)",1.73,,"3.71千万 (37,057,765)",1.5,,"6.65千万 (66,460,344)",1.68,,"2.09亿 (209,469,333)",1.73,,"13.53亿 (1,352,617,328)",2.22,,"5.16千万 (51,606,633)",0.98,,"1.27亿 (126,529,100)",1.42,,"9.55千万 (95,540,395)",2.05,,"2.24千万 (22,442,948)",6.91,,"6.7千万 (66,965,912)",1.88,,"8.29千万 (82,905,782)",1.57,,"3.72千万 (37,172,386)",4.47
2017,"3.25亿 (324,985,539)",1.77,,"3.65千万 (36,543,321)",1.5,,"6.61千万 (66,058,859)",1.74,,"2.08亿 (207,833,831)",1.74,,"13.39亿 (1,338,658,835)",2.24,,"5.14千万 (51,361,911)",1.05,,"1.27亿 (126,785,797)",1.43,,"9.46千万 (94,596,642)",2.04,,"2.16千万 (21,602,472)",7,,"6.69千万 (66,864,379)",1.9,,"8.27千万 (82,657,002)",1.57,,"3.63千万 (36,296,400)",4.63
2016,"3.23亿 (322,941,311)",1.82,,"3.61千万 (36,109,487)",1.54,,"6.56千万 (65,611,593)",1.79,,"2.06亿 (206,163,058)",1.75,,"13.25亿 (1,324,509,589)",2.27,,"5.12千万 (51,217,803)",1.17,,"1.27亿 (126,994,511)",1.44,,"9.36千万 (93,638,724)",2.03,,"2.08千万 (20,788,838)",7.09,,"6.67千万 (66,724,104)",1.92,,"8.23千万 (82,348,669)",1.6,,"3.54千万 (35,383,128)",4.8
2015,"3.21亿 (320,635,163)",1.84,,"3.57千万 (35,702,908)",1.56,,"6.51千万 (65,116,219)",1.8,,"2.04亿 (204,471,769)",1.75,,"13.1亿 (1,310,152,403)",2.29,,"5.1千万 (51,014,947)",1.24,,"1.27亿 (127,141,000)",1.45,,"9.27千万 (92,677,076)",2.01,,"2.0千万 (20,001,663)",7.17,,"6.65千万 (66,548,272)",1.96,,"8.17千万 (81,686,611)",1.5,,"3.44千万 (34,413,603)",4.98
2014,"3.18亿 (318,301,008)",1.86,,"3.54千万 (35,437,435)",1.58,,"6.46千万 (64,602,298)",1.81,,"2.03亿 (202,763,735)",1.76,,"12.96亿 (1,295,604,184)",2.33,,"5.07千万 (50,746,659)",1.21,,"1.27亿 (127,276,000)",1.42,,"9.17千万 (91,714,595)",2,,"1.92千万 (19,240,157)",7.25,,"6.63千万 (66,312,067)",2,,"8.1千万 (80,982,500)",1.47,,"3.34千万 (33,370,794)",5.16
2013,"3.16亿 (315,993,715)",1.86,,"3.51千万 (35,082,954)",1.59,,"6.41千万 (64,128,273)",1.83,,"2.01亿 (201,035,903)",1.76,,"12.81亿 (1,280,846,129)",2.38,,"5.04千万 (50,428,893)",1.19,,"1.27亿 (127,445,000)",1.43,,"9.08千万 (90,753,472)",1.98,,"1.85千万 (18,504,255)",7.31,,"6.6千万 (65,998,687)",1.99,,"8.06千万 (80,645,605)",1.42,,"3.23千万 (32,269,589)",5.36
