Year,US,Canada,UK,Brazil,India,South Korea,Japan,Vietnam,France,Germany,Afghanistan,Nigeria
2018,1.73,1.5,1.68,1.73,2.22,0.98,1.42,2.05,1.88,1.57,4.47,5.39
2017,1.77,1.5,1.74,1.74,2.24,1.05,1.43,2.04,1.9,1.57,4.63,5.46
2016,1.82,1.54,1.79,1.75,2.27,1.17,1.44,2.03,1.92,1.6,4.8,5.53
2015,1.84,1.56,1.8,1.75,2.29,1.24,1.45,2.01,1.96,1.5,4.98,5.59
2014,1.86,1.58,1.81,1.76,2.33,1.21,1.42,2,2,1.47,5.16,5.65
2013,1.86,1.59,1.83,1.76,2.38,1.19,1.43,1.98,1.99,1.42,5.36,5.71
2012,1.88,1.61,1.92,1.77,2.44,1.3,1.41,1.96,2.01,1.41,5.56,5.76
2011,1.89,1.61,1.91,1.78,2.51,1.24,1.39,1.95,2.01,1.39,5.77,5.8
2010,1.93,1.63,1.92,1.8,2.58,1.23,1.39,1.94,2.03,1.39,5.98,5.84
2009,2,1.67,1.89,1.82,2.66,1.15,1.37,1.93,2,1.36,6.18,5.87
2008,2.07,1.68,1.91,1.85,2.74,1.19,1.37,1.92,2.01,1.38,6.37,5.9
2007,2.12,1.66,1.86,1.88,2.82,1.25,1.34,1.91,1.98,1.37,6.55,5.93
2006,2.11,1.59,1.82,1.93,2.9,1.12,1.32,1.9,2,1.33,6.72,5.96
2005,2.06,1.54,1.76,1.98,2.97,1.08,1.26,1.89,1.94,1.34,6.88,5.99
2004,2.05,1.53,1.75,2.03,3.04,1.15,1.29,1.89,1.92,1.36,7.02,6.01
2003,2.05,1.53,1.7,2.1,3.11,1.18,1.29,1.9,1.89,1.34,7.15,6.04
2002,2.02,1.5,1.63,2.16,3.18,1.17,1.32,1.92,1.88,1.34,7.27,6.06
2001,2.03,1.51,1.63,2.23,3.24,1.3,1.33,1.95,1.9,1.35,7.39,6.08
2000,2.06,1.49,1.64,2.3,3.31,1.47,1.36,2.01,1.89,1.38,7.49,6.11
1999,2.01,1.51,1.68,2.37,3.38,1.41,1.34,2.1,1.81,1.36,7.56,6.13
1998,2,1.53,1.71,2.43,3.45,1.45,1.38,2.21,1.78,1.36,7.61,6.16
1997,1.97,1.55,1.72,2.48,3.51,1.52,1.39,2.36,1.77,1.35,7.63,6.19
1996,1.98,1.59,1.73,2.54,3.58,1.57,1.43,2.53,1.75,1.3,7.63,6.22
1995,1.98,1.64,1.71,2.59,3.65,1.63,1.42,2.71,1.74,1.25,7.61,6.26
1994,2,1.67,1.74,2.64,3.72,1.66,1.5,2.9,1.73,1.24,7.57,6.3
1993,2.02,1.7,1.76,2.69,3.8,1.65,1.46,3.09,1.73,1.28,7.54,6.35
