year, fertility
1960,5.756 
1961,5.905 
1962,6.062 
1963,6.206 
64,6.320 
65,6.385 
66,6.384 
67,6.316 
68,6.184 
69,5.986 
70,5.725 
71,5.403 
72,5.035 
73,4.643 
74,4.244 
75,3.859 
76,3.508 
77,3.200 
78,2.943 
79.2.745 
80,2.613 
81,2.547 
82,2.536 
83,2.561 
84,2.607 
85,2.650 
86,2.666 
87,2.643 
88,2.575 
89,2.460 
90,2.309 
91,2.140 
92,1.977 
93,1.838 
94,1.731 
95,1.660 
96,1.622 
97,1.605 
98,1.597 
99,1.595 
2000,1.596 
2001,1.597 
2002,1.600 
2003,1.604 
2004,1.608 
2005,1.612 
2006,1.615 
2007,1.617 
2008,1.620 
2009,1.623 
2010,1.627 
2011,1.632 
2012,1.639 
2013,1.647 
2014,1.656 
2015,1.665 
2016,1.675 
2017,1.683 
2018,
2019,
2020.
