year,America,Canada,UK,Brazil,India,South Korea,Japen,Vietnam,Nigeria,France,Germany,Afghanistan,China
2020,331.002,37.42,67.89,212.559,1380.004,51.27,126.476,97.338,206,65.273,83.98,38.93,1439.32
2019,328.24,37.59,66.83,211.05,1366.42,51.71,126.26,96.46,201,67.06,83.02,38.04,1433.78
2018,326.69,37.06,66.46,209.47,1352.62,51.61,126.53,95.54,195.9,66.97,82.79,37.17,1392.73
2017,324.99,36.54,66.06,207.83,1338.66,51.36,126.79,94.60,190.9,66.86,82.52,36.30,1386.4
2016,322.94,36.11,65.61,206.16,1324.51,51.22,126.99,93.64,186,66.72,82.18,35.38,1378.67
2015,320.64,35.70,65.12,204.47,1310.15,51.01,127.14,92.68,181.1,66.55,81.2,34.41,1371.22
2014,318.30,35.44,64.60,202.76,1295.60,50.75,127.28,91.71,176.4,66.31,80.77,33.37,1364.27
2013,315.99,35.08,64.13,201.04,1280.85,50.43,127.45,90.75,171.8,66.00,80.52,32.27,1357.38
2012,313.83,34.71,63.70,199.29,1265.78,50.20,127.63,89.80,167.2,65.66,80.33,31.16,1350.7
2011,311.56,34.34,63.26,197.51,1250.29,49.94,127.83,88.87,162.8,65.34,80.22,30.12,1344.13
2010,309.32,34.00,62.77,195.71,1234.28,49.55,128.07,87.97,158.5,65.03,81.8,29.19,1337.71
2009,306.77,33.63,62.28,193.89,1217.73,49.31,128.05,87.09,154.3,64.71,82,28.40,1331.26
2008,304.09,33.25,61.81,192.03,1200.67,49.05,128.06,86.24,150.3,64.37,82.22,27.72,1324.66
2007,301.23,32.89,61.32,190.13,1183.21,48.68,128.00,85.42,146.3,64.02,82.31,27.10,1317.89
2006,298.38,32.57,60.85,188.17,1165.49,48.44,127.85,84.62,142.5,63.62,82.44,26.43,1311.02
2005,295.52,32.24,60.40,186.13,1147.61,48.18,127.77,83.83,138.9,63.18,82.5,25.65,1303.72
2004,292.81,31.94,59.99,184.01,1129.62,48.08,127.76,83.06,135.3,62.70,82.53,24.73,1296.08
2003,290.11,31.64,59.65,181.81,1111.52,47.89,127.72,82.30,131.9,62.24,82.54,23.68,1288.4
2002,287.63,31.36,59.37,179.54,1093.32,47.64,127.45,81.53,128.6,61.81,82.44,22.60,1280.4
2001,284.97,31.02,59.12,177.20,1075.00,47.37,127.15,80.74,125.4,61.36,82.26,21.61,1271.85
2000,282.16,30.69,58.89,174.79,1056.58,47.01,126.84,79.91,122.3,60.91,82.16,20.78,1262.65
1999,279.04,30.40,58.68,172.32,1038.06,46.62,126.63,79.04,119.3,60.50,82.04,20.17,1252.74
1998,275.85,30.16,58.49,169.79,1019.48,46.29,126.40,78.12,116.3,60.19,82.06,19.74,1241.94
1997,272.66,29.91,58.32,167.21,1000.90,45.95,126.06,77.13,113.5,59.64,81.82,19.36,1230.08
1996,269.39,29.61,58.17,164.61,982.37,45.52,125.76,76.07,110.7,59.75,81.91,18.85,1217.55
1995,266.78,29.30,58.02,162.02,963.92,45.09,125.44,74.91,107.9,59.54,81.54,18.11,1204.86
1994,263.13,29.00,57.87,159.43,945.60,44.64,124.96,73.65,105.3,59.33,81.34,17.08,1191.84
1993,259.92,28.68,57.72,156.85,927.40,44.19,124.54,72.30,102.7,59.11,80.97,15.82,1178.44
1992,256.51,28.37,57.58,154.26,909.31,43.75,124.23,70.88,100.2,58.85,80.27,14.49,1164.97
1991,252.98,28.04,57.42,151.65,891.27,43.30,123.92,69.44,97.61,58.56,79.75,13.30,1150.78
1990,249.62,27.69,57.25,149.00,893.28,42.87,123.54,67.99,95.21,58.24,62.68,12.41,1135.19
1989,246.82,27.28,57.08,146.33,855.33,42.45,123.12,66.55,92.79,57.94,61.72,11.87,1118.65
1988,244.50,26.79,56.93,143.63,837.47,42.03,122.61,65.12,90.4,57.63,61.24,11.62,1101.63
1987,242.29,26.45,56.80,140.89,819.68,41.62,122.09,63.70,88.05,57.30,61.14,11.60,1084.04
1986,240.13,26.10,56.68,138.11,801.98,41.21,121.49,62.29,85.77,56.98,61.02,11.74,1066.79
1985,237.92,25.84,56.55,135.27,784.36,40.81,120.75,60.90,83.56,56.65,61.05,11.94,1051.04
1984,235.83,25.61,56.42,132.38,766.83,40.41,120.02,59.51,81.45,56.34,61.31,12.20,1036.83
1983,233.79,25.37,56.33,129.45,749.43,39.91,119.26,58.15,79.41,56.02,61.55,12.54,1023.31
1982,231.66,25.12,56.31,126.50,732.24,39.33,118.45,56.81,77.43,55.72,61.71,12.88,1008.63
1981,229.47,24.82,56.33,123.57,715.38,38.72,117.65,55.52,75.44,55.43,61.66,13.17,993.89
1980,227.23,24.52,56.31,120.69,698.95,38.12,116.8,54.28,73.42,55.16,61.44,7.45,981.24
1979,225.06,24.20,56.25,117.88,683.00,37.53,115.9,53.1,71.36,54.92,61.32,7.45,969.01
