,,数据来自快易数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,美国,总和生育率,,,加拿大,,,,英国,,,,巴西,,,,印度,,,,韩国,,,,日本,,,,越南,,,,Niger,,,,法国,,,,德国,,,,阿富汗,
Year,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility,,,Population,Fertility
2019,"3.28亿 (328,239,523)",328.24 ,,,"3.76千万 (37,589,262)",37.59 ,,,"6.68千万 (66,834,405)",66.83 ,,,"2.11亿 (211,049,527)",211.05 ,,,"13.66亿 (1,366,417,754)",1366.42 ,,,"5.17千万 (51,709,098)",51.71 ,,,"1.26亿 (126,264,931)",126.26 ,,,"9.65千万 (96,462,106)",96.46 ,,,"2.33千万 (23,310,715)",23.31 ,,,"6.71千万 (67,059,887)",67.06 ,,,"8.31千万 (83,132,799)",83.13 ,,,"3.8千万 (38,041,754)",38.04 ,
2018,"3.27亿 (326,687,501)",326.69 ,1.73,,"3.71千万 (37,057,765)",37.06 ,1.5,,"6.65千万 (66,460,344)",66.46 ,1.68,,"2.09亿 (209,469,333)",209.47 ,1.73,,"13.53亿 (1,352,617,328)",1352.62 ,2.22,,"5.16千万 (51,606,633)",51.61 ,0.98,,"1.27亿 (126,529,100)",126.53 ,1.42,,"9.55千万 (95,540,395)",95.54 ,2.05,,"2.24千万 (22,442,948)",22.44 ,6.91,,"6.7千万 (66,965,912)",66.97 ,1.88,,"8.29千万 (82,905,782)",82.91 ,1.57,,"3.72千万 (37,172,386)",37.17 ,4.47
2017,"3.25亿 (324,985,539)",324.99 ,1.77,,"3.65千万 (36,543,321)",36.54 ,1.5,,"6.61千万 (66,058,859)",66.06 ,1.74,,"2.08亿 (207,833,831)",207.83 ,1.74,,"13.39亿 (1,338,658,835)",1338.66 ,2.24,,"5.14千万 (51,361,911)",51.36 ,1.05,,"1.27亿 (126,785,797)",126.79 ,1.43,,"9.46千万 (94,596,642)",94.60 ,2.04,,"2.16千万 (21,602,472)",21.60 ,7,,"6.69千万 (66,864,379)",66.86 ,1.9,,"8.27千万 (82,657,002)",82.66 ,1.57,,"3.63千万 (36,296,400)",36.30 ,4.63
2016,"3.23亿 (322,941,311)",322.94 ,1.82,,"3.61千万 (36,109,487)",36.11 ,1.54,,"6.56千万 (65,611,593)",65.61 ,1.79,,"2.06亿 (206,163,058)",206.16 ,1.75,,"13.25亿 (1,324,509,589)",1324.51 ,2.27,,"5.12千万 (51,217,803)",51.22 ,1.17,,"1.27亿 (126,994,511)",126.99 ,1.44,,"9.36千万 (93,638,724)",93.64 ,2.03,,"2.08千万 (20,788,838)",20.79 ,7.09,,"6.67千万 (66,724,104)",66.72 ,1.92,,"8.23千万 (82,348,669)",82.35 ,1.6,,"3.54千万 (35,383,128)",35.38 ,4.8
2015,"3.21亿 (320,635,163)",320.64 ,1.84,,"3.57千万 (35,702,908)",35.70 ,1.56,,"6.51千万 (65,116,219)",65.12 ,1.8,,"2.04亿 (204,471,769)",204.47 ,1.75,,"13.1亿 (1,310,152,403)",1310.15 ,2.29,,"5.1千万 (51,014,947)",51.01 ,1.24,,"1.27亿 (127,141,000)",127.14 ,1.45,,"9.27千万 (92,677,076)",92.68 ,2.01,,"2.0千万 (20,001,663)",20.00 ,7.17,,"6.65千万 (66,548,272)",66.55 ,1.96,,"8.17千万 (81,686,611)",81.69 ,1.5,,"3.44千万 (34,413,603)",34.41 ,4.98
2014,"3.18亿 (318,301,008)",318.30 ,1.86,,"3.54千万 (35,437,435)",35.44 ,1.58,,"6.46千万 (64,602,298)",64.60 ,1.81,,"2.03亿 (202,763,735)",202.76 ,1.76,,"12.96亿 (1,295,604,184)",1295.60 ,2.33,,"5.07千万 (50,746,659)",50.75 ,1.21,,"1.27亿 (127,276,000)",127.28 ,1.42,,"9.17千万 (91,714,595)",91.71 ,2,,"1.92千万 (19,240,157)",19.24 ,7.25,,"6.63千万 (66,312,067)",66.31 ,2,,"8.1千万 (80,982,500)",80.98 ,1.47,,"3.34千万 (33,370,794)",33.37 ,5.16
2013,"3.16亿 (315,993,715)",315.99 ,1.86,,"3.51千万 (35,082,954)",35.08 ,1.59,,"6.41千万 (64,128,273)",64.13 ,1.83,,"2.01亿 (201,035,903)",201.04 ,1.76,,"12.81亿 (1,280,846,129)",1280.85 ,2.38,,"5.04千万 (50,428,893)",50.43 ,1.19,,"1.27亿 (127,445,000)",127.45 ,1.43,,"9.08千万 (90,753,472)",90.75 ,1.98,,"1.85千万 (18,504,255)",18.50 ,7.31,,"6.6千万 (65,998,687)",66.00 ,1.99,,"8.06千万 (80,645,605)",80.65 ,1.42,,"3.23千万 (32,269,589)",32.27 ,5.36
2012,"3.14亿 (313,830,990)",313.83 ,1.88,,"3.47千万 (34,714,222)",34.71 ,1.61,,"6.37千万 (63,700,215)",63.70 ,1.92,,"1.99亿 (199,287,296)",199.29 ,1.77,,"12.66亿 (1,265,782,790)",1265.78 ,2.44,,"5.02千万 (50,199,853)",50.20 ,1.3,,"1.28亿 (127,629,000)",127.63 ,1.41,,"8.98千万 (89,802,487)",89.80 ,1.96,,"1.78千万 (17,795,191)",17.80 ,7.38,,"6.57千万 (65,659,809)",65.66 ,2.01,,"8.04千万 (80,425,823)",80.43 ,1.41,,"3.12千万 (31,161,376)",31.16 ,5.56
