,数据来自快易数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,美国,总和生育率,,加拿大,,,英国,,,巴西,,,印度,,,韩国,,,日本,,,越南,,,Niger,,,法国,,,德国,,,阿富汗,
Year,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility
2019,328.24 ,,,37.59 ,,,66.83 ,,,211.05 ,,,1366.42 ,,,51.71 ,,,126.26 ,,,96.46 ,,,23.31 ,,,67.06 ,,,83.13 ,,,38.04 ,
2018,326.69 ,1.73 ,,37.06 ,1.50 ,,66.46 ,1.68 ,,209.47 ,1.73 ,,1352.62 ,2.22 ,,51.61 ,0.98 ,,126.53 ,1.42 ,,95.54 ,2.05 ,,22.44 ,6.91 ,,66.97 ,1.88 ,,82.91 ,1.57 ,,37.17 ,4.47 
2017,324.99 ,1.77 ,,36.54 ,1.50 ,,66.06 ,1.74 ,,207.83 ,1.74 ,,1338.66 ,2.24 ,,51.36 ,1.05 ,,126.79 ,1.43 ,,94.60 ,2.04 ,,21.60 ,7.00 ,,66.86 ,1.90 ,,82.66 ,1.57 ,,36.30 ,4.63 
2016,322.94 ,1.82 ,,36.11 ,1.54 ,,65.61 ,1.79 ,,206.16 ,1.75 ,,1324.51 ,2.27 ,,51.22 ,1.17 ,,126.99 ,1.44 ,,93.64 ,2.03 ,,20.79 ,7.09 ,,66.72 ,1.92 ,,82.35 ,1.60 ,,35.38 ,4.80 
2015,320.64 ,1.84 ,,35.70 ,1.56 ,,65.12 ,1.80 ,,204.47 ,1.75 ,,1310.15 ,2.29 ,,51.01 ,1.24 ,,127.14 ,1.45 ,,92.68 ,2.01 ,,20.00 ,7.17 ,,66.55 ,1.96 ,,81.69 ,1.50 ,,34.41 ,4.98 
2014,318.30 ,1.86 ,,35.44 ,1.58 ,,64.60 ,1.81 ,,202.76 ,1.76 ,,1295.60 ,2.33 ,,50.75 ,1.21 ,,127.28 ,1.42 ,,91.71 ,2.00 ,,19.24 ,7.25 ,,66.31 ,2.00 ,,80.98 ,1.47 ,,33.37 ,5.16 
2013,315.99 ,1.86 ,,35.08 ,1.59 ,,64.13 ,1.83 ,,201.04 ,1.76 ,,1280.85 ,2.38 ,,50.43 ,1.19 ,,127.45 ,1.43 ,,90.75 ,1.98 ,,18.50 ,7.31 ,,66.00 ,1.99 ,,80.65 ,1.42 ,,32.27 ,5.36 
2012,313.83 ,1.88 ,,34.71 ,1.61 ,,63.70 ,1.92 ,,199.29 ,1.77 ,,1265.78 ,2.44 ,,50.20 ,1.30 ,,127.63 ,1.41 ,,89.80 ,1.96 ,,17.80 ,7.38 ,,65.66 ,2.01 ,,80.43 ,1.41 ,,31.16 ,5.56 
